price,fuel_type,gear_type,Make,Year_of_manufacture,Condition,Mileage,Engine_size
7875000,Petrol,Automatic,Mercedes-Benz,2010,Local Used,112846.0,3000.0
16800000,Petrol,Automatic,Lexus,2011,Local Used,84289.0,3500.0
9880000,Petrol,Automatic,Lexus,2009,Local Used,116325.0,2500.0
4935000,Petrol,Automatic,Ford,2012,Local Used,130891.0,2500.0
5565000,Petrol,Automatic,Toyota,2007,Local Used,132415.0,3500.0
7560000,Petrol,Automatic,Toyota,2010,Local Used,117794.0,1800.0
6982500,Petrol,Automatic,Honda,2010,Local Used,257973.0,3500.0
12075000,Petrol,Automatic,Toyota,2015,Local Used,472635.0,2500.0
27615000,Petrol,Automatic,Toyota,2012,Local Used,144421.0,2700.0
9187500,Petrol,Automatic,Toyota,2013,Local Used,349253.0,2400.0
16758000,Petrol,Automatic,Lexus,2013,Local Used,130570.0,3500.0
21000000,Petrol,Automatic,Lincoln,2016,Local Used,177560.0,2000.0
5565000,Petrol,Automatic,Mercedes-Benz,2009,Local Used,152181.0,3500.0
7350000,Petrol,Automatic,Toyota,2009,Local Used,270206.0,2500.0
5460000,Petrol,Automatic,Toyota,2007,Local Used,182669.0,3500.0
17325000,Petrol,Automatic,Hyundai,2020,Local Used,68351.0,1600.0
9870000,Petrol,Automatic,SsangYong,2008,Foreign Used,302761.0,3500.0
16800000,Petrol,Automatic,Lexus,2013,Local Used,145483.0,3800.0
5565000,Petrol,Automatic,Lexus,2005,Local Used,80246.0,3300.0
7665000,Petrol,Automatic,Hyundai,2015,Local Used,174319.0,1800.0
27258000,Petrol,Automatic,Mercedes-Benz,2017,Local Used,211927.0,2000.0
5250000,Petrol,Automatic,Lexus,2004,Local Used,225125.0,3300.0
13125000,Petrol,Automatic,Land Rover,2013,Local Used,133481.0,2000.0
5250000,Petrol,Automatic,Lexus,2004,Local Used,225125.0,3300.0
13125000,Petrol,Automatic,Land Rover,2013,Local Used,133481.0,2000.0
6300000,Petrol,Automatic,Nissan,2007,Local Used,231212.0,5600.0
5460000,Petrol,Automatic,Toyota,2007,Local Used,152341.0,3500.0
9240000,Petrol,Automatic,Lexus,2011,Local Used,136964.0,3800.0
4725000,Petrol,Automatic,Kia,2012,Local Used,111801.0,3500.0
6800000,Petrol,Automatic,Toyota,2008,Local Used,123506.0,2400.0
12075000,Petrol,Automatic,Mercedes-Benz,2010,Local Used,230404.0,5500.0
4900350,Petrol,Automatic,Honda,2010,Local Used,106777.0,3500.0
16640000,Petrol,Automatic,Mercedes-Benz,2014,Local Used,205277.0,3500.0
5250000,Petrol,Automatic,Toyota,2008,Local Used,195307.0,3500.0
4830000,Petrol,Manual,Renault,2004,Foreign Used,310842.0,1600.0
6656000,Petrol,Automatic,Toyota,2006,Local Used,207353.0,3300.0
9450000,Petrol,Automatic,Toyota,2014,Local Used,247751.0,3500.0
5775000,Petrol,Automatic,Land Rover,2005,Local Used,116681.0,4400.0
13575000,Petrol,Automatic,Toyota,2012,Local Used,273159.0,2700.0
4630500,Petrol,Automatic,Toyota,2007,Local Used,228951.0,3500.0
7350000,Petrol,Automatic,Lexus,2005,Local Used,157531.0,3300.0
4200000,Petrol,Automatic,Jeep,2006,Local Used,51185.0,3700.0
11550000,Petrol,Automatic,Land Rover,2012,Local Used,77565.0,2000.0
12600000,Petrol,Automatic,Mercedes-Benz,2013,Foreign Used,234398.0,3500.0
6032000,Petrol,Automatic,Toyota,2004,Local Used,4223843.0,3500.0
14700000,Petrol,Automatic,Lexus,2000,Local Used,199060.0,4700.0
5880000,Petrol,Automatic,Toyota,2011,Local Used,209854.0,3500.0
7350000,Petrol,Automatic,Peugeot,2013,Local Used,178539.0,1600.0
3885000,Petrol,Automatic,Toyota,2004,Local Used,227187.0,2400.0
5880000,Petrol,Automatic,Toyota,2008,Local Used,173644.0,2400.0
