price,fuel_type,gear_type,Make,Year_of_manufacture,Condition,Mileage,Engine_size,Selling_Condition,Bought_Condition
6825000,Petrol,Automatic,Lexus,2004,Local Used,100000.0,3300.0,Registered,Registered
47250000,Petrol,Automatic,Ford,2020,Local Used,44309.0,2000.0,Registered,Brand new
9366000,Petrol,Automatic,Acura,2013,Local Used,74277.0,3700.0,Registered,Imported
27782998,Petrol,Automatic,Lexus,2017,Foreign Used,133604.0,2000.0,Imported,Imported
6300000,Petrol,Automatic,Hyundai,2011,Local Used,203613.0,2400.0,Registered,Registered
13438950,Petrol,Automatic,Toyota,2008,Local Used,144206.0,5700.0,Registered,Brand new
4620000,Petrol,Automatic,Toyota,2003,Local Used,340330.0,3500.0,Registered,Imported
11550000,Petrol,Automatic,Toyota,2008,Foreign Used,144750.0,3500.0,Imported,Imported
7980000,Petrol,Automatic,Lexus,2007,Local Used,119447.0,3500.0,Registered,Registered
14700000,Petrol,Automatic,Toyota,2009,Local Used,138154.0,2700.0,Registered,Imported
15800000,Petrol,Automatic,Land Rover,2016,Local Used,34552.0,2000.0,Registered,Imported
6300000,Diesel,Automatic,BMW,2010,Local Used,293126.0,3000.0,Registered,Imported
14700000,Petrol,Automatic,Hyundai,2016,Foreign Used,138216.0,1600.0,Imported,Imported
102900000,Petrol,Automatic,Lexus,2023,Foreign Used,5426.0,2400.0,Imported,Imported
5775000,Petrol,Automatic,Jeep,2008,Local Used,66957.0,3700.0,Registered,Registered
28875000,Petrol,Automatic,Mercedes-Benz,2016,Local Used,118095.0,3500.0,Registered,Imported
16905000,Petrol,Automatic,Toyota,2013,Foreign Used,176430.0,2500.0,Imported,Imported
10500000,Petrol,Manual,Toyota,2012,Local Used,87181.0,2700.0,Registered,Registered
14700000,Petrol,Automatic,Hyundai,2016,Foreign Used,138216.0,1600.0,Imported,Imported
4935000,Petrol,Automatic,Toyota,2004,Local Used,260622.0,3300.0,Registered,Registered
6405000,Petrol,Automatic,Toyota,2008,Local Used,302850.0,2400.0,Registered,Imported
31500000,Petrol,Automatic,Mitsubishi,2018,Foreign Used,79226.0,2400.0,Imported,Imported
7350000,Petrol,Automatic,Mercedes-Benz,2011,Local Used,125256.0,3000.0,Registered,Imported
5460000,Petrol,Automatic,Toyota,2006,Local Used,281087.0,2400.0,Registered,Imported
9450000,Petrol,Automatic,Ford,2013,Local Used,133673.0,3500.0,Registered,Imported
32550000,Petrol,Automatic,Toyota,2020,Local Used,45111.0,2500.0,Registered,Imported
6153000,Petrol,Automatic,Honda,2010,Local Used,242313.0,3500.0,Registered,Registered
3990000,Petrol,Automatic,Ford,2009,Local Used,194890.0,3500.0,Registered,Registered
15225000,Petrol,Automatic,Lexus,2010,Local Used,457482.0,3500.0,Registered,Imported
17850000,Petrol,Automatic,Volkswagen,2016,Foreign Used,80308.0,3600.0,Imported,Registered
14040000,Petrol,Automatic,Toyota,2010,Local Used,173163.0,3500.0,Registered,Registered
6090000,Petrol,Automatic,Toyota,2011,Local Used,133113.0,2500.0,Registered,Registered
8925000,Petrol,Automatic,Ford,2015,Local Used,126943.0,3500.0,Registered,Brand new
8478750,Petrol,Automatic,Lexus,2007,Local Used,135704.0,3500.0,Registered,Imported
10500000,Petrol,Automatic,Mercedes-Benz,2010,Local Used,208476.0,3500.0,Registered,Registered
3990000,Petrol,Automatic,Ford,2009,Local Used,194890.0,3500.0,Registered,Registered
5040000,Petrol,Automatic,Honda,2008,Local Used,184168.0,2400.0,Registered,Registered
7350000,Petrol,Automatic,Land Rover,2006,Local Used,209568.0,4400.0,Registered,Registered
4160000,Petrol,Automatic,Acura,2006,Local Used,154460.0,3500.0,Registered,Imported
6300000,Petrol,Automatic,Honda,2012,Local Used,115595.0,2400.0,Registered,Imported
3675000,Petrol,Automatic,Nissan,2006,Local Used,138391.0,3500.0,Registered,Imported
5460000,Petrol,Automatic,Toyota,2007,Local Used,15180.0,2400.0,Registered,Brand new
7350000,Petrol,Automatic,Mercedes-Benz,2010,Local Used,89344.0,5500.0,Registered,Registered
5775000,Petrol,Automatic,Toyota,2002,Local Used,95317.0,3000.0,Registered,Imported
7980000,Petrol,Automatic,Mercedes-Benz,2009,Local Used,520021.0,3000.0,Registered,Imported
6299999,Petrol,Automatic,Lexus,2005,Local Used,341849.0,3300.0,Registered,Registered
13125000,Petrol,Automatic,Toyota,2010,Local Used,296902.0,3500.0,Registered,Imported
8400000,Petrol,Automatic,Volkswagen,2004,Foreign Used,247041.0,2000.0,Imported,Imported
6153000,Petrol,Automatic,Honda,2010,Local Used,242313.0,3500.0,Registered,Registered
5250000,Petrol,Automatic,Honda,2007,Local Used,164891.0,2800.0,Registered,Registered
4620000,Petrol,Automatic,Ford,2010,Local Used,340463.0,3500.0,Registered,Registered
5250000,Petrol,Automatic,Toyota,2007,Local Used,246302.0,2400.0,Registered,Registered
6510000,Petrol,Automatic,Mercedes-Benz,2008,Local Used,219639.0,3500.0,Registered,Imported
5250000,Petrol,Automatic,Toyota,2007,Local Used,322952.0,3300.0,Registered,Registered
50400000,Petrol,Manual,Mitsubishi,2023,Local Used,564.0,2700.0,Registered,Brand new
11340000,Petrol,Automatic,Hyundai,2011,Local Used,216898.0,2000.0,Registered,Registered
6825000,Petrol,Automatic,Lexus,2006,Local Used,181478.0,2500.0,Registered,Imported
