price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 3,696,000",Petrol,Automatic,Toyota,Camry,2004,Gold,Local Used,375738,2400,Registered,Registered,Toyota Camry 2004 Gold,,,,,,LAGOS
"₦ 5,029,500",Petrol,Automatic,Toyota,Camry,2007,Silver,Local Used,104354,3500,Registered,Imported,Toyota Camry 2007 Silver,,,,,,
"₦ 7,875,000",Petrol,Automatic,Lexus,SC,2003,White,Local Used,249988,4300,Registered,Imported,Lexus SC 2003 White,,,,,,
"₦ 10,290,000",Petrol,Automatic,Toyota,Tacoma,2004,Silver,Foreign Used,282415,2400,Imported,Imported,Toyota Tacoma 2004 Silver,,,,,,
"₦ 7,943,250",Petrol,Automatic,Mercedes-Benz,C350,2010,White,Local Used,,3000,Registered,Registered,Mercedes-Benz C350 2010 White,,,,,,LAGOS
"₦ 12,600,000",Petrol,Automatic,Toyota,Tacoma,2009,Gray,Local Used,297098,3800,Registered,Registered,Toyota Tacoma 2009 Gray,,,,,,LAGOS
"₦ 14,800,000",Petrol,Automatic,Toyota,Venza,2014,Black,Local Used,109196,2500,Registered,Imported,Toyota Venza 2014 Black,Limited 4dr Wagon AWD (3.5L 6cyl 6A),All Wheel,5,6,268,Cross river
"₦ 6,300,000",Petrol,Automatic,Lexus,GS,2011,Gray,Local Used,250035,3500,Registered,Registered,Lexus GS 2011 Gray,,,,,,Abuja
"₦ 7,035,000",Petrol,Automatic,Toyota,Camry,2010,Silver,Local Used,550841,2500,Registered,Imported,Toyota Camry 2010 Silver,LE 4dr Sedan (2.5L 4cyl 6AM),Front,5,4,169,FCT
"₦ 6,300,000",Petrol,Automatic,Acura,MDX,2011,White,Local Used,244362,3500,Registered,Registered,Acura MDX 2011 White,,,,,,
"₦ 8,320,000",Petrol,Automatic,Toyota,Avalon,2012,Brown,Local Used,162062,3500,Registered,Registered,Toyota Avalon 2012 Brown,,,,,,LAGOS
"₦ 9,450,000",Petrol,Automatic,Honda,Accord,2014,Black,Local Used,82569,2400,Registered,Imported,Honda Accord 2014 Black,,,,,,
"₦ 13,650,000",Petrol,Automatic,Toyota,Camry,2014,Silver,Foreign Used,169891,2500,Imported,Imported,Toyota Camry SE 4dr Sedan (3.5L 6cyl 6A) 2014 Silver,SE 4dr Sedan (3.5L 6cyl 6A),Front,5,6,268,
