price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 14,175,000",Petrol,Automatic,Toyota,Sienna,2012,Black,Foreign Used,84459,3500,Imported,Imported,Toyota Sienna 2012 Black,,,,,,
"₦ 43,575,000",Petrol,Automatic,Mercedes-Benz,GLE-Class,2018,Black,Foreign Used,109962,3500,Imported,Imported,Mercedes-Benz GLE-Class 2018 Black,,,,,,
"₦ 12,480,000",Petrol,Automatic,Hyundai,Sonata,2012,Blue,Local Used,80382,2000,Registered,Registered,Hyundai Sonata 2012 Blue,,,,,,Lagos
"₦ 5,720,000",Petrol,Automatic,Toyota,Camry,2003,Blue,Local Used,165852,2400,Registered,Registered,Toyota Camry 2003 Blue,,,,,,
"₦ 7,280,000",Petrol,Automatic,Honda,CR-V,2008,Black,Local Used,24979,2400,Registered,Registered,Honda CR-V 2008 Black,,,,,,Lagos
"₦ 26,250,000",Petrol,CVT,Honda,Civic,2017,White,Foreign Used,35420,2000,Imported,Imported,Honda Civic 2017 White,,,,,,
"₦ 7,592,000",Petrol,Automatic,Acura,MDX,2008,Silver,Local Used,165182,3700,Registered,Imported,Acura MDX 2008 Silver,,,,,,
"₦ 10,500,000",Petrol,Automatic,Toyota,Sienna,2008,Gray,Foreign Used,120213,3500,Imported,Imported,Toyota Sienna 2008 Gray,,,,,,
"₦ 6,760,000",Petrol,Automatic,Toyota,Highlander,2002,Black,Local Used,164283,3000,Registered,Imported,Toyota Highlander 2002 Black,,,,,,PLATEAU
"₦ 6,760,000",Petrol,Automatic,Toyota,Corolla,2005,Silver,Local Used,130010,1800,Registered,Registered,Toyota Corolla 2005 Silver,,,,,,
"₦ 5,145,000",Petrol,Automatic,Toyota,Sequoia,2004,Black,Local Used,349300,4700,Registered,Registered,Toyota Sequoia 2004 Black,Limited 4dr SUV 4WD (4.7L 8cyl 4A),,,8,,AKWA IBOM
"₦ 10,500,000",Petrol,Automatic,Ford,F-150,2010,White,Local Used,354600,4600,Registered,Registered,Ford F-150 FX4 2010 White,FX4,All Wheel,,8,314,Abuja
"₦ 5,200,000",Petrol,Automatic,Toyota,Camry,2003,Black,Local Used,231089,3000,Registered,Imported,Toyota Camry 2003 Black,,,,,,Lagos
"₦ 5,200,000",Petrol,Automatic,Toyota,Camry,2003,Gray,Local Used,315966,2400,Registered,Registered,Toyota Camry 2003 Gray,,,,,,LAGOS
"₦ 4,200,000",Petrol,Automatic,Ford,Explorer,2004,Blue,Local Used,,4000,Registered,Imported,Ford Explorer 2004 Blue,,,,,,
